2.204182	-1339.5465	-1339.54893	-678.913195	-678.915626	
2.20899	-1339.54582	-1339.54893	-678.912514	-678.915626	
2.219091	-1339.54361	-1339.54893	-678.910309	-678.915626	
2.237261	-1339.53722	-1339.5402	-678.903919	-678.915626	
2.241853	-1339.53567	-1339.5402	-678.902367	-678.915626	
2.252031	-1339.53143	-1339.5402	-678.89813	-678.915626	
2.2622	-1339.52658	-1339.5402	-678.893279	-678.915626	
2.272336	-1339.52113	-1339.5402	-678.887826	-678.915626	
2.282526	-1339.51502	-1339.5402	-678.88172	-678.915626	
2.292644	-1339.50835	-1339.5402	-678.875044	-678.915626	
2.304357	-1339.49973	-1339.5402	-678.866431	-678.915626	
2.31302	-1339.49301	-1339.5402	-678.859704	-678.915626	
2.323148	-1339.48447	-1339.5402	-678.851166	-678.915626	
2.333278	-1339.47532	-1339.5402	-678.842014	-678.915626	
2.343426	-1339.46553	-1339.5402	-678.832225	-678.915626	
2.353633	-1339.45506	-1339.5402	-678.821757	-678.915626	
2.36384	-1339.44396	-1339.5402	-678.810659	-678.915626	
2.373897	-1339.43243	-1339.5402	-678.799125	-678.915626	
2.384086	-1339.42011	-1339.5402	-678.786809	-678.915626	
2.394293	-1339.40715	-1339.5402	-678.773847	-678.906899	
2.405971	-1339.39144	-1339.5402	-678.75814	-678.906899	
2.414562	-1339.37954	-1339.5402	-678.746236	-678.906899	
2.424684	-1339.36484	-1339.5402	-678.731538	-678.906899	
2.434849	-1339.34946	-1339.5402	-678.716161	-678.906899	
2.444956	-1339.33356	-1339.5402	-678.700259	-678.906899	
2.455136	-1339.31692	-1339.5402	-678.683615	-678.906899	
2.465345	-1339.29959	-1339.5402	-678.666293	-678.898172	
2.475451	-1339.28185	-1339.53147	-678.648549	-678.898172	
2.4856	-1339.26341	-1339.53147	-678.630105	-678.898172	
2.495757	-1339.24432	-1339.52275	-678.611014	-678.898172	
2.507659	-1339.22103	-1339.52275	-678.587729	-678.889446	
2.516083	-1339.20424	-1339.50529	-678.570941	-678.880719	
2.526203	-1339.18339	-1339.49657	-678.550088	-678.863266	
2.5364	-1339.16174	-1339.48784	-678.528443	-678.863266	
2.546857	-1339.13888	-1339.47039	-678.50558	-678.845813	
2.556654	-1339.11692	-1339.45293	-678.483614	-678.828359	
2.566782	-1339.09358	-1339.42675	-678.460276	-678.810906	
2.576998	-1339.0694	-1339.4093	-678.436096	-678.793453	
2.587075	-1339.04495	-1339.38312	-678.411651	-678.775999	
2.597231	-1339.01969	-1339.35694	-678.386387	-678.758546	
2.609226	-1338.9889	-1339.33076	-678.355603	-678.72364	
2.617528	-1338.96731	-1339.30458	-678.334009	-678.69746	
2.62775	-1338.94002	-1339.2784	-678.306716	-678.67128	
